Date,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeOdd,AwayOdd,Game_Code,HomeTeamShort,VisitorTeamShort
2019-04-09,Los Angeles Lakers,Portland Trail Blazers,101,104,4.72,1.2,09042019_por_lal,lal,por
2019-04-09,Miami Heat,Philadelphia 76ers,122,99,1.39,3.1,09042019_phi_mia,mia,phi
2019-04-09,Minnesota Timberwolves,Toronto Raptors,100,120,3.76,1.28,09042019_tor_min,min,tor
2019-04-09,New Orleans Pelicans,Golden State Warriors,103,112,4.64,1.21,09042019_gs_no,no,gs
2019-04-09,Oklahoma City Thunder,Houston Rockets,112,111,2.27,1.66,09042019_hou_okc,okc,hou
2019-04-09,Utah Jazz,Denver Nuggets,118,108,1.78,2.07,09042019_den_uta,uta,den
2019-04-09,Washington Wizards,Boston Celtics,110,116,1.51,2.64,09042019_bos_wsh,wsh,bos
2019-04-10,Atlanta Hawks,Indiana Pacers,134,135,1.44,2.82,10042019_ind_atl,atl,ind
2019-04-10,Brooklyn Nets,Miami Heat,113,94,1.49,2.68,10042019_mia_bkn,bkn,mia
2019-04-10,Charlotte Hornets,Orlando Magic,114,122,1.55,2.49,10042019_orl_cha,cha,orl
2019-04-10,Denver Nuggets,Minnesota Timberwolves,99,95,1.11,7.16,10042019_min_den,den,min
2019-04-10,Los Angeles Clippers,Utah Jazz,143,137,1.31,3.54,10042019_uta_lac,lac,uta
2019-04-10,Memphis Grizzlies,Golden State Warriors,132,117,2.8,1.45,10042019_gs_mem,mem,gs
2019-04-10,Milwaukee Bucks,Oklahoma City Thunder,116,127,2.58,1.52,10042019_okc_mil,mil,okc
2019-04-10,New York Knicks,Detroit Pistons,89,115,4.21,1.24,10042019_det_ny,ny,det
2019-04-10,Philadelphia 76ers,Chicago Bulls,125,109,1.42,2.9,10042019_chi_phi,phi,chi
2019-04-10,Portland Trail Blazers,Sacramento Kings,136,131,1.64,2.3,10042019_sac_por,por,sac
2019-04-10,San Antonio Spurs,Dallas Mavericks,105,94,1.07,9.35,10042019_dal_sa,sa,dal
